
[ALPHA] quantile curve head
entry_mode  delay_days  quantile  horizon_days  long_mean  short_mean  spread_mean  long_n  short_n
next_close,0,5,3,0.002623044302871001,6930
next_close,0,5,4,0.003106326203042181,7700
next_close,0,5,5,0.0022798729775406427,7700
next_close,0,5,6,0.002502398819259948,6930
next_close,0,5,7,0.0027828932991458485,7700
next_close,0,5,8,0.0028565080534707016,6930
next_close,0,5,9,0.0027051068039381683,7700
next_close,0,5,10,0.0027004108392474696,7700
next_close,1,1,1,0.0,7730
next_close,1,1,2,0.0,7730
next_close,1,1,3,0.0,6957
next_close,1,1,4,0.0,7730
next_close,1,1,5,0.0,7730
next_close,1,1,6,0.0,6957
next_close,1,1,7,0.0,7730
next_close,1,1,8,0.0,6957
next_close,1,1,9,0.0,7730
next_close,1,1,10,0.0,7730
next_close,1,2,1,-0.00031631912824914114,7720
next_close,1,2,2,0.0008526324793760176,7720
next_close,1,2,3,0.00036453856763540843,6948
next_close,1,2,4,0.0008581042655420211,7720
next_close,1,2,5,0.0007468015174353662,7720
next_close,1,2,6,0.0005915798715112337,6948
next_close,1,2,7,0.0006821114686407315,7720
next_close,1,2,8,0.0009899865885271714,6948
next_close,1,2,9,0.0008407187958890972,7720
next_close,1,2,10,0.0010354639125329526,7720
next_close,1,3,1,0.0002983324395181532,7710
next_close,1,3,2,0.0018429220373006043,7710
next_close,1,3,3,0.0011640789762470771,6939
next_close,1,3,4,0.001548177720293242,7710
next_close,1,3,5,0.0011463964454497071,7710
next_close,1,3,6,0.0009443650027715244,6939
next_close,1,3,7,0.001502639736384003,7710
next_close,1,3,8,0.0016411555753225704,6939
next_close,1,3,9,0.0014765916445340394,7710
next_close,1,3,10,0.001533739692929437,7710
next_close,1,4,1,0.001178134663595069,7700
next_close,1,4,2,0.0026948622657026774,7700
next_close,1,4,3,0.001978406945435016,6930
next_close,1,4,4,0.0025478617727377126,7700
next_close,1,4,5,0.0015724677216336963,7700
next_close,1,4,6,0.0016247920411518572,6930
next_close,1,4,7,0.0021584098463357845,7700
next_close,1,4,8,0.0021354528205361875,6930
next_close,1,4,9,0.0019133611163006435,7700
next_close,1,4,10,0.0017389431063408226,7700
next_close,1,5,1,0.0018662592401287226,7690
next_close,1,5,2,0.0036418107762298322,7690
next_close,1,5,3,0.002653542371271013,6921
next_close,1,5,4,0.003162756558962087,7690
next_close,1,5,5,0.001959883436616425,7690
next_close,1,5,6,0.002238045038597718,6921
next_close,1,5,7,0.002860317807925943,7690
next_close,1,5,8,0.002727289929031933,6921
next_close,1,5,9,0.0025355870813265086,7690
next_close,1,5,10,0.002127379998705281,7690
next_close,2,1,1,0.0,7720
next_close,2,1,2,0.0,7720
next_close,2,1,3,0.0,6948
next_close,2,1,4,0.0,7720
next_close,2,1,5,0.0,7720
next_close,2,1,6,0.0,6948
next_close,2,1,7,0.0,7720
next_close,2,1,8,0.0,6948
next_close,2,1,9,0.0,7720
next_close,2,1,10,0.0,7720
next_close,2,2,1,0.0006173377103686321,7710
next_close,2,2,2,0.0009249613915419477,7710
next_close,2,2,3,0.0007954969615664428,6939
next_close,2,2,4,0.0006966163172310417,7710
next_close,2,2,5,0.0004021011812394469,7710
next_close,2,2,6,0.0003467403227551973,6939
next_close,2,2,7,0.0008252740670078427,7710
next_close,2,2,8,0.000644070113914011,6939
next_close,2,2,9,0.0006344202486664857,7710
next_close,2,2,10,0.0006024240913820339,7710
next_close,2,3,1,0.0014451897132240897,7700
next_close,2,3,2,0.0017994409456569941,7700
next_close,2,3,3,0.0016033815829331701,6930
next_close,2,3,4,0.0016917261289528301,7700
next_close,2,3,5,0.0008184650649070103,7700
next_close,2,3,6,0.0010201535939238773,6930
next_close,2,3,7,0.0014788188013985539,7700
next_close,2,3,8,0.0011371034324949927,6930
next_close,2,3,9,0.0010552197932070626,7700
next_close,2,3,10,0.0007976168339879115,7700
next_close,2,4,1,0.0021243124699449807,7690
next_close,2,4,2,0.002775024766207972,7690
next_close,2,4,3,0.0022982079198753764,6921
next_close,2,4,4,0.00232561951175491,7690
next_close,2,4,5,0.0012080835758125081,7690
next_close,2,4,6,0.0016322729380187021,6921
next_close,2,4,7,0.002185549741395273,7690
next_close,2,4,8,0.0017462300792137864,6921
next_close,2,4,9,0.0017132585874503742,7690
next_close,2,4,10,0.0011919073773760491,7690
