factor,horizon,ic,n_days,abs_ic
ret1,fwd_3d,-0.006425090550446446,787,0.006425090550446446
ret_autocorr_20,fwd_2d,0.006379038456256618,770,0.006379038456256618
range,fwd_5d,0.00632937055503043,786,0.00632937055503043
cs_range_z,fwd_5d,0.00632937055503043,786,0.00632937055503043
upper_wick,fwd_3d,-0.006268771277488412,788,0.006268771277488412
vol10,fwd_1d,-0.006157261105984845,785,0.006157261105984845
ret20,fwd_2d,-0.006145449431821527,769,0.006145449431821527
mom20,fwd_2d,-0.006145449431821527,769,0.006145449431821527
amihud_shock,fwd_1d,-0.006142354463392347,780,0.006142354463392347
amihud_imbalance,fwd_1d,-0.006142354463392347,780,0.006142354463392347
dist_ema10,fwd_3d,-0.006137236067608059,785,0.006137236067608059
ret_sign_imbalance_10,fwd_5d,-0.00611375002690163,781,0.00611375002690163
rev2,fwd_5d,0.006096013459034042,784,0.006096013459034042
ret2,fwd_5d,-0.006096013459034042,784,0.006096013459034042
ema_slope_10,fwd_3d,-0.006076438264102132,784,0.006076438264102132
range,fwd_1d,-0.005963089146859859,790,0.005963089146859859
cs_range_z,fwd_1d,-0.005963089146859859,790,0.005963089146859859
rev5,fwd_3d,0.005919966896660978,785,0.005919966896660978
ret_sign_imbalance_5,fwd_3d,-0.0059167980403887375,785,0.0059167980403887375
accel_5_3,fwd_1d,-0.005912675584071253,785,0.005912675584071253
accel_3_1,fwd_5d,-0.0058508787407674095,783,0.0058508787407674095
rel_volume_60,fwd_3d,-0.005827987833712584,769,0.005827987833712584
rev2,fwd_3d,0.005753663185275593,786,0.005753663185275593
ret2,fwd_3d,-0.005753663185275593,786,0.005753663185275593
dist_high_60,fwd_5d,0.005744212483207892,767,0.005744212483207892
amihud_shock,fwd_2d,-0.005712204095291933,779,0.005712204095291933
amihud_imbalance,fwd_2d,-0.005712204095291933,779,0.005712204095291933
dist_ema10,fwd_5d,-0.005686792844617858,783,0.005686792844617858
accel_3_1,fwd_2d,-0.005649084365611481,786,0.005649084365611481
position_in_60d_range,fwd_1d,0.005537756834344437,771,0.005537756834344437
ret20,fwd_5d,-0.0055114474759191305,766,0.0055114474759191305
mom20,fwd_5d,-0.0055114474759191305,766,0.0055114474759191305
upper_wick,fwd_2d,-0.005502380658253356,789,0.005502380658253356
ema_stack_10_20,fwd_5d,0.005501032013832863,780,0.005501032013832863
vol10,fwd_2d,0.005491373103244724,784,0.005491373103244724
ret_sign_imbalance_5,fwd_5d,-0.005457753372849083,783,0.005457753372849083
vol_spike_10_40,fwd_1d,-0.005399160446711971,775,0.005399160446711971
vol_comp_10_20,fwd_5d,-0.005342654522755444,776,0.005342654522755444
vol40,fwd_1d,-0.005325452389041437,775,0.005325452389041437
pressure,fwd_3d,-0.005288709293526442,788,0.005288709293526442
vol_comp_10_20,fwd_3d,-0.0052286216508596215,778,0.0052286216508596215
dist_ema50,fwd_3d,0.005199071697654435,774,0.005199071697654435
dist_ema10,fwd_1d,-0.005185704172140445,787,0.005185704172140445
body_to_range,fwd_3d,-0.005170456462525283,788,0.005170456462525283
pressure,fwd_2d,-0.005126239756449027,789,0.005126239756449027
dist_ema50,fwd_2d,0.005080343642433555,775,0.005080343642433555
body_to_range,fwd_2d,-0.005054042761955934,789,0.005054042761955934
ret_autocorr_20,fwd_1d,0.005044807315179958,771,0.005044807315179958
vol40,fwd_3d,0.005034741313380267,773,0.005034741313380267
clv,fwd_3d,0.0050183205053382154,788,0.0050183205053382154
ret_autocorr_10,fwd_1d,0.004846106513266033,781,0.004846106513266033
gap_ret,fwd_1d,-0.004834646735665323,789,0.004834646735665323
cs_gap_z,fwd_1d,-0.004834646735665322,790,0.004834646735665322
pressure_x_relvol,fwd_5d,-0.00480450235823134,777,0.00480450235823134
ret20,fwd_1d,-0.004720326865433907,770,0.004720326865433907
mom20,fwd_1d,-0.004720326865433907,770,0.004720326865433907
clv,fwd_5d,0.004632399892459184,786,0.004632399892459184
accel_5_3,fwd_3d,-0.004559724951983981,783,0.004559724951983981
rel_volume_20,fwd_3d,-0.004508605395265435,779,0.004508605395265435
cs_relvol_z,fwd_3d,-0.004508605395265435,788,0.004508605395265435
liq_imbalance,fwd_3d,-0.004508605395265435,779,0.004508605395265435
liq_shock,fwd_3d,-0.0044792600157499635,779,0.0044792600157499635
turnover_imbalance,fwd_3d,-0.0044792600157499635,779,0.0044792600157499635
dist_high_20,fwd_1d,-0.004415203703776614,781,0.004415203703776614
rel_volume_20,fwd_2d,-0.004399156394776187,780,0.004399156394776187
cs_relvol_z,fwd_2d,-0.004399156394776187,789,0.004399156394776187
liq_imbalance,fwd_2d,-0.004399156394776187,780,0.004399156394776187
vol_comp_10_20,fwd_2d,-0.004384919371166265,779,0.004384919371166265
exhaustion_down,fwd_3d,0.004282965911861284,779,0.004282965911861284
ret_autocorr_10,fwd_3d,0.004278987021322869,779,0.004278987021322869
gap_x_relvol,fwd_2d,0.0042601217746878715,780,0.0042601217746878715
dist_high_60,fwd_1d,0.004139217015221525,771,0.004139217015221525
exhaustion_down,fwd_2d,0.004132543099375189,780,0.004132543099375189
dist_high_60,fwd_3d,0.004124023544829732,769,0.004124023544829732
ret_sign_imbalance_10,fwd_1d,0.00405879215427607,785,0.00405879215427607
liq_shock,fwd_2d,-0.003981291730114132,780,0.003981291730114132
turnover_imbalance,fwd_2d,-0.003981291730114132,780,0.003981291730114132
rel_volume_5,fwd_1d,-0.003962991767179721,788,0.003962991767179721
accel_10_5,fwd_1d,0.003952792121774704,780,0.003952792121774704
dist_ema10,fwd_2d,-0.003938352544888643,786,0.003938352544888643
ret5,fwd_2d,-0.00392979917192617,784,0.00392979917192617
